Batsman1_T1,Batsman2_T1,Batsman3_T1,Batsman4_T1,Batsman5_T1,Batsman6_T1,Batsman7_T1,Batsman8_T1,Bowler1_T1,Bowler2_T1,Bowler3_T1,Bowler4_T1,Bowler5_T1,Bowler6_T1,Batsman1_T2,Batsman2_T2,Batsman3_T2,Batsman4_T2,Batsman5_T2,Batsman6_T2,Batsman7_T2,Batsman8_T2,Bowler1_T2,Bowler2_T2,Bowler3_T2,Bowler4_T2,Bowler5_T2,Bowler6_T2,Winner_Team1
3.360201274,2.618344654,2.514131988,2.262476453,1.871189525,0.722716013,0.587807664,0.415328172,3.143842555,2.842701602,2.63134085,2.176877057,1.423810472,0.322714422,2.703768648,2.546804694,2.18153645,1.940947334,1.639158858,1.50005216,0.38212627,0.066418266,2.536079285,2.42777242,2.330906268,2.223984196,2.072485843,0.156084365,1
3.883108906,3.097862792,2.191257415,1.753622562,1.116051586,0.690294707,0.001816902,0,4.382307559,2.883854841,2.328270048,2.162560774,0.526803108,0.055704095,3.113825679,2.201417278,1.857847254,1.030570901,0.972683435,0.669725262,0.330562684,-0.096720827,5.163630891,3.48894927,2.568924723,0.3192342,0,0,1
3.974981776,3.17115704,2.243101727,1.795112601,1.142456939,0.706626816,0.171303072,0.001394917,4.009070404,2.736751789,2.564955112,1.978377437,0.481935766,0.050959828,3.187497602,2.253501968,1.901803208,1.466823236,0.995696753,0.685570705,0.525308831,0.258010338,3.855744266,3.249885347,3.103137556,2.618049655,2.115118563,0.243371094,1
4.34908054,3.469605183,2.454207495,1.964056622,1.249977364,0.773129817,0.197786124,0.001526197,4.225411048,2.780606323,2.24491272,2.085136213,1.301764894,0.451504326,3.48748361,2.465586538,2.080788237,1.604870853,1.089405088,0.750092046,0.574747393,0.28229255,4.063811003,3.425258243,3.270591531,2.759326931,2.229256272,0.256504079,0
5.249301413,4.187782502,2.962206552,2.370598821,1.508711527,0.933160792,0.226220271,0.001842107,2.202219757,1.503323278,1.408953761,1.123213682,1.018819851,0.235317165,4.209361604,2.975940955,2.511492839,1.937064802,1.314902223,0.905354408,0.693714976,0.011011307,1.822383833,1.75328475,1.290949278,0.160423214,0.021171271,0,1
3.910060156,3.119363934,2.407535693,2.145175412,1.695162067,0.695085792,0.177820492,0.126378941,4.657388297,3.179319511,2.979741116,2.298306339,1.434848471,0.059200683,3.135437613,2.216696516,1.870741897,1.442866261,0.979434478,0.674373582,0.516729194,0.008202019,3.85408818,3.258666134,2.730178058,0.339272771,0.044774292,0,1
2.06028473,1.344776266,1.239677705,0.999242398,0.560937927,0.452599821,0.212259366,0.018773601,3.663223889,2.78405787,1.640369918,1.388994271,1.160289522,0.914019374,2.28426403,1.326664279,0.981029041,0.92827664,0.843036552,0.641624968,0.328497794,-0.145489009,3.727586348,2.957760907,2.30170222,2.052351506,1.375125524,0.709160581,1
8.344384435,7.37766224,7.12671812,3.74362438,3.45285847,3.14461009,2.108449701,0.832358204,3.165972625,2.328644463,1.490314861,1.098104165,0.935799319,0.396444176,6.661898944,5.852629718,5.429175119,4.928382239,3.641549561,2.955879236,0.008858055,-0.054708014,2.055094234,1.955940292,1.743065458,1.534956378,1.138691119,0.369201872,1
4.687988946,4.144871236,4.003887408,2.103219218,1.939862966,1.766684823,1.184555789,0.467630188,7.740844738,5.693566363,5.341640587,3.498085873,2.288041652,0.969311229,3.742745658,3.288087173,3.050184605,2.768832337,2.045872194,1.660653256,0.004976576,-0.098095282,5.024732452,4.383584216,3.90936307,3.27393569,2.784114773,0.902703436,1
6.158983373,5.445446506,5.260224855,2.763166113,2.548552032,0.921544371,0.264486686,0.063715836,4.597684301,3.381700779,2.164262946,2.052589159,1.495019326,1.207986816,5.274886353,4.840311852,4.231661623,3.895956697,2.687824773,2.181732063,0.006538123,-0.040379941,2.984446051,2.840452853,2.531312062,2.229092187,1.653628411,0.536161821,0
