Date.x,Player,Country,Runs.x,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings.x,Participation.x,Opposition.x,Ground,Team.x,Opponent.x,ID,OutPenalty,BattingImpact,Date.y,Overs,Maidens,Runs.y,Wickets,Economy,Innings.y,Participation.y,Opposition.y,Team.y,Opponent.y,BowlingImpact
9/22/22,Babar Azam ,PAK,110,TRUE,88,66,11,5,166.6666667,2,B,ENG,Karachi,ENG PAK,ENG,1793,0,20.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/23/23,JP Inglis ,AUS,110,FALSE,56,50,11,8,220,1,B,IND,Visakhapatnam,AUS IND,IND,2360,0.5,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/4/17,C Munro ,NZL,109,TRUE,87,58,7,7,187.9310345,1,B,IND,Rajkot,IND NZL,IND,631,0,20.67327586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/16/23,PD Salt ,ENG,109,TRUE,95,56,4,9,194.6428571,2,B,WI,St George's,ENG WI,WI,2407,0,20.94107143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/24,SV Samson ,IND,109,TRUE,104,56,6,9,194.6428571,1,B,RSA,Johannesburg,IND RSA,RSA,2952,0,21.54107143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/27/22,RR Rossouw ,RSA,109,FALSE,90,56,7,8,194.6428571,1,B,BAN,Sydney,BAN RSA,BAN,1847,0.5,20.84107143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/29/20,GD Phillips ,NZL,108,FALSE,72,51,10,8,211.7647059,1,B,WI,Mount Maunganui,NZL WI,WI,1110,0.5,22.04411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/24,NT Tilak Varma ,IND,107,TRUE,97,56,8,7,191.0714286,1,B,RSA,Centurion,IND RSA,RSA,2947,0,20.80178571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/1/25,Mohammad Haris ,PAK,107,TRUE,81,46,8,7,232.6086957,2,B,BAN,Lahore,BAN PAK,BAN,3203,0,21.84021739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/26/22,R Powell ,WI,107,FALSE,71,53,4,10,201.8867925,1,B,ENG,Bridgetown,ENG WI,ENG,1455,0.5,20.87216981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/8/24,SV Samson ,IND,107,FALSE,75,50,7,10,214,1,B,RSA,Durban,IND RSA,RSA,2938,0.5,22.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/26/25,P Nissanka ,SL,107,FALSE,103,58,7,6,184.4827586,2,B,IND,Dubai (DICS),IND SL,IND,NA,0.5,19.33706897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/2/22,DA Miller ,RSA,106,TRUE,79,47,8,7,225.5319149,2,B,IND,Guwahati,IND RSA,IND,1803,0,21.53829787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/25,TB Robinson ,NZL,106,TRUE,92,66,6,5,160.6060606,1,B,AUS,Mount Maunganui,AUS NZL,AUS,3491,0,18.31515152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/2/15,RG Sharma ,IND,106,FALSE,79,66,12,5,160.6060606,1,B,RSA,Dharamsala,IND RSA,RSA,456,0.5,19.61515152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/21/25,Hasan Nawaz ,PAK,105,TRUE,74,45,10,7,233.3333333,2,B,NZL,Auckland,NZL PAK,NZL,3124,0,22.20833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/16/18,MJ Guptill ,NZL,105,FALSE,74,54,6,9,194.4444444,1,B,AUS,Auckland,AUS NZL,AUS,649,0.5,20.53611111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/6/11,TM Dilshan ,SL,104,TRUE,85,57,12,5,182.4561404,1,B,AUS,Pallekele,AUS SL,AUS,202,0,20.41140351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/11/21,Mohammad Rizwan ,PAK,104,TRUE,102,64,6,7,162.5,1,B,RSA,Lahore,PAK RSA,RSA,1120,0,19.1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/24/23,MS Chapman ,NZL,104,TRUE,NA,57,11,4,182.4561404,2,B,PAK,Rawalpindi,NZL PAK,PAK,2049,0,19.61140351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/23,GJ Maxwell ,AUS,104,TRUE,79,48,8,8,216.6666667,2,B,IND,Guwahati,AUS IND,IND,2372,0,21.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/3/18,C Munro ,NZL,104,FALSE,88,53,3,10,196.2264151,1,B,WI,Mount Maunganui,NZL WI,WI,638,0.5,20.05566038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/22,DJ Hooda ,IND,104,FALSE,78,57,9,6,182.4561404,1,B,IRE,Dublin (Malahide),IND IRE,IRE,1586,0.5,19.51140351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/29/22,GD Phillips ,NZL,104,FALSE,87,64,10,4,162.5,1,B,SL,Sydney,NZL SL,SL,1850,0.5,18.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/7/18,GJ Maxwell ,AUS,103,TRUE,89,58,10,4,177.5862069,2,B,ENG,Hobart,AUS ENG,ENG,645,0,19.06465517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/8/19,DJ Malan ,ENG,103,TRUE,79,51,9,6,201.9607843,1,B,NZL,Napier,ENG NZL,NZL,1008,0,20.37401961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/9/24,PD Salt ,ENG,103,TRUE,NA,54,9,6,190.7407407,2,B,WI,Bridgetown,ENG WI,WI,2940,0,20.09351852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/4/25,MR Marsh ,AUS,103,TRUE,88,52,8,7,198.0769231,2,B,NZL,Mount Maunganui,AUS NZL,NZL,3499,0,20.47692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/16/21,LS Livingstone ,ENG,103,FALSE,62,43,6,9,239.5348837,2,B,PAK,Nottingham,ENG PAK,PAK,1191,0.5,21.41337209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/25,SD Hope ,WI,102,TRUE,NA,57,8,6,178.9473684,1,B,AUS,Basseterre,AUS WI,AUS,3369,0,19.37368421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/25,TH David ,AUS,102,TRUE,NA,37,6,11,275.6756757,2,B,WI,Basseterre,AUS WI,WI,3369,0,23.69189189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/23/12,MJ Guptill ,NZL,101,TRUE,89,69,9,6,146.3768116,2,B,RSA,East London,NZL RSA,RSA,295,0,18.73442029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/29/17,DA Miller ,RSA,101,TRUE,53,36,7,9,280.5555556,1,B,BAN,Potchefstroom,BAN RSA,BAN,628,0,22.98888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/18,KL Rahul ,IND,101,TRUE,NA,54,10,5,187.037037,2,B,ENG,Manchester,ENG IND,ENG,684,0,19.55092593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/1/21,JC Buttler ,ENG,101,TRUE,104,67,6,6,150.7462687,1,B,SL,Sharjah,ENG SL,SL,1382,0,17.94365672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/15/23,Babar Azam ,PAK,101,TRUE,95,58,11,3,174.137931,1,B,NZL,Lahore,NZL PAK,NZL,2046,0,18.52844828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/2/10,SK Raina ,IND,101,FALSE,85,60,9,5,168.3333333,1,B,RSA,Gros Islet,IND RSA,RSA,155,0.5,18.28333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/6/17,C Munro ,NZL,101,FALSE,71,54,7,7,187.037037,1,B,BAN,Mount Maunganui,BAN NZL,BAN,575,0.5,19.15092593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
