"Date","Player","Country","Runs","NotOut","Minutes","BallsFaced","Fours","Sixes","StrikeRate","Innings","Participation","Opposition","Ground"
2025-08-10,"Ihsanullah Wafa ","SWE",18,FALSE,NA,11,3,0,163.636363636364,1,"B","France","Stockholm"
2025-08-12,"AK Markram ","South Africa",18,FALSE,22,13,2,1,138.461538461538,1,"B","Australia","Darwin"
2025-08-17,"Awais Ahmad ","SWE",18,FALSE,NA,15,2,1,120,1,"B","Norway","Oslo"
2025-08-23,"Saber Zakhil ","BEL",18,FALSE,NA,5,1,2,360,2,"B","Austria","Latschach"
2025-08-24,"Bilal Zalmai ","AUT",18,FALSE,NA,14,1,1,128.571428571429,2,"B","Belgium","Latschach"
2005-10-21,"BB McCullum ","New Zealand",17,TRUE,10,9,1,1,188.888888888889,2,"B","South Africa","Johannesburg"
2006-08-28,"Abdul Razzaq ","Pakistan",17,TRUE,7,7,4,0,242.857142857143,2,"B","England","Bristol"
2007-02-02,"Naved-ul-Hasan ","Pakistan",17,TRUE,13,7,0,2,242.857142857143,1,"B","South Africa","Johannesburg"
2007-09-01,"Alok Kapali ","BAN",17,TRUE,NA,19,1,0,89.4736842105263,2,"B","Kenya","Nairobi (Gym)"
2007-09-18,"DL Vettori ","New Zealand",17,TRUE,15,9,2,0,188.888888888889,1,"B","England","Durban"
2008-06-20,"SR Watson ","Australia",17,TRUE,27,15,1,1,113.333333333333,1,"B","West Indies","Bridgetown"
2008-08-04,"KJ O'Brien ","Ireland",17,TRUE,27,16,1,1,106.25,2,"B","Kenya","Belfast"
2008-10-13,"CK Kapugedera ","Sri Lanka",17,TRUE,37,22,2,0,77.2727272727273,2,"B","Pakistan","King City (NW)"
2009-06-08,"JF Mooney ","Ireland",17,TRUE,29,14,2,0,121.428571428571,2,"B","Bangladesh","Nottingham"
2009-06-13,"MV Boucher ","South Africa",17,TRUE,19,12,0,1,141.666666666667,1,"B","West Indies","The Oval"
2009-06-15,"S Chanderpaul ","West Indies",17,TRUE,23,10,1,0,170,2,"B","England","The Oval"
2009-09-04,"JDP Oram ","New Zealand",17,TRUE,19,12,1,0,141.666666666667,1,"B","Sri Lanka","Colombo (RPS)"
2009-11-13,"Fawad Alam ","Pakistan",17,TRUE,17,13,0,1,130.769230769231,1,"B","New Zealand","Dubai (DICS)"
2010-02-10,"Raees Ahmadzai ","Afghanistan",17,TRUE,19,13,0,0,130.769230769231,1,"B","Scotland","Abu Dhabi"
2010-02-13,"JF Mooney ","Ireland",17,TRUE,27,13,2,0,130.769230769231,1,"B","Netherlands","Dubai (DICS)"
2010-05-16,"MEK Hussey ","Australia",17,TRUE,26,10,2,0,170,1,"B","England","Bridgetown"
2010-10-31,"NLTC Perera ","Sri Lanka",17,TRUE,NA,4,1,2,425,2,"B","Australia","W.A.C.A"
2011-09-16,"Sohail Tanvir ","Pakistan",17,TRUE,4,5,0,2,340,1,"B","Zimbabwe","Harare"
2011-10-29,"R Ashwin ","India",17,TRUE,14,11,3,0,154.545454545455,1,"B","England","Eden Gardens"
