"Date","Player","Country","Runs","NotOut","Minutes","BallsFaced","Fours","Sixes","StrikeRate","Innings","Participation","Opposition","Ground"
2024-12-18,"I Liyanage ","QAT",18,FALSE,NA,19,2,0,94.7368421052632,2,"B","United Arab Emirates","ICCA Dubai"
2024-12-20,"Ahmer Bin ","BHR",18,FALSE,NA,21,1,0,85.7142857142857,1,"B","Qatar","ICCA Dubai"
2024-12-30,"DJ Mitchell ","New Zealand",18,FALSE,20,15,2,0,120,1,"B","Sri Lanka","Mount Maunganui"
2025-01-28,"NT Tilak Varma ","India",18,FALSE,19,14,1,1,128.571428571429,2,"B","England","Rajkot"
2025-02-23,"Gaurav Tiwari ","INA",18,FALSE,NA,22,1,1,81.8181818181818,2,"B","Bahrain","Bali"
2025-03-11,"Babar Hayat ","Hong Kong",18,FALSE,NA,26,1,0,69.2307692307692,1,"B","Bahrain","Kuala Lumpur"
2025-03-14,"Imran Anwar ","BHR",18,FALSE,NA,15,0,1,120,2,"B","Hong Kong","Kuala Lumpur"
2025-03-16,"Agha Salman ","Pakistan",18,FALSE,48,20,2,0,90,1,"B","New Zealand","Christchurch"
2025-03-19,"S Movva ","Canada",18,FALSE,NA,20,1,0,90,1,"B","Namibia","Windhoek"
2025-04-18,"D Ganesh ","CRC",18,FALSE,NA,24,1,1,75,1,"B","Panama","Panama City"
2025-04-21,"DMW Rawlins ","BER",18,FALSE,NA,21,2,0,85.7142857142857,1,"B","United States of America","George Town"
2025-04-25,"Virandeep Singh ","MAS",18,FALSE,NA,15,1,1,120,2,"B","Thailand","Kuala Lumpur"
2025-04-25,"Manan Ali ","KSA",18,FALSE,NA,13,1,1,138.461538461538,1,"B","Singapore","Kuala Lumpur"
2025-04-27,"Ravinderpal Singh ","Canada",18,FALSE,NA,14,1,1,128.571428571429,1,"B","United States of America","George Town"
2025-04-28,"C Chatphaisan ","THA",18,FALSE,NA,24,2,0,75,2,"B","Saudi Arabia","Kuala Lumpur"
2025-04-29,"Aqeel Wahid ","MAS",18,FALSE,NA,16,0,2,112.5,1,"B","Thailand","Kuala Lumpur"
2025-04-30,"Aslam Khan ","MAS",18,FALSE,NA,11,3,1,163.636363636364,1,"B","Saudi Arabia","Kuala Lumpur"
2025-05-02,"Nawazish Akhtar ","KSA",18,FALSE,NA,17,0,1,105.882352941176,2,"B","Malaysia","Kuala Lumpur"
2025-05-07,"A Parima ","COK",18,FALSE,NA,18,2,0,100,2,"B","Thailand","Sano"
2025-05-17,"Zeeshan Goraya ","AUT",18,FALSE,NA,14,2,1,128.571428571429,1,"B","Slovenia","Latschach"
2025-05-18,"Izaz Ali ","SVN",18,FALSE,NA,21,1,1,85.7142857142857,1,"B","Austria","Graz"
2025-05-18,"Taher Muhammad ","SVN",18,FALSE,NA,24,2,0,75,2,"B","Austria","Graz"
2025-05-19,"Jaker Ali ","BAN",18,FALSE,NA,6,1,2,300,1,"B","United Arab Emirates","Sharjah"
2025-05-30,"B Niaz ","BEL",18,FALSE,NA,9,1,2,200,1,"B","Portugal","Zemst"
2025-05-31,"Ali Raza ","BEL",18,FALSE,NA,15,2,1,120,1,"B","Malta","Zemst"
2025-05-31,"Arjun Vinod ","SUI",18,FALSE,NA,10,0,2,180,2,"B","Austria","Latschach"
2025-06-06,"J Charles ","West Indies",18,FALSE,13,15,2,1,120,2,"B","England","Chester-le-Street"
2025-06-08,"M Vandrasi ","CZK-R",18,FALSE,NA,20,1,0,90,1,"B","Austria","Vinor"
2025-06-11,"GA Priandana ","INA",18,FALSE,NA,18,3,0,100,1,"B","Cambodia","Bali"
2025-06-11,"GT Taylor ","BHM",18,FALSE,NA,25,2,1,72,1,"B","Cayman","King City (NE)"
2025-06-12,"US Hathinjar ","CAM",18,FALSE,NA,10,4,0,180,2,"B","Indonesia","Bali"
2025-06-12,"Vineet Shah ","INA",18,FALSE,NA,18,2,0,100,1,"B","Cambodia","Bali"
2025-06-12,"DJ Hawoe ","INA",18,FALSE,NA,15,1,1,120,1,"B","Cambodia","Bali"
2025-06-15,"AK Mohan ","FIN",18,FALSE,NA,20,2,0,90,1,"B","Norway","Ishoj"
2025-06-15,"JO Holder ","West Indies",18,FALSE,17,13,2,1,138.461538461538,1,"B","Ireland","Bready"
2025-06-15,"D Wheatley ","BHM",18,FALSE,NA,11,2,1,163.636363636364,2,"B","Cayman","King City (NW)"
2025-06-21,"Ahmed Hassan ","SUI",18,FALSE,NA,18,1,1,100,1,"B","Luxembourg","Walferdange"
2025-06-22,"Mayank Nagayach ","LUX",18,FALSE,NA,18,1,1,100,2,"B","Switzerland","Walferdange"
2025-06-26,"Shaheryar Butt ","BEL",18,FALSE,NA,16,3,0,112.5,1,"B","Malta","Ilfov County"
2025-07-05,"JTS Sumerauer ","JER",18,FALSE,NA,11,1,1,163.636363636364,1,"B","Netherlands","The Hague"
2025-07-05,"B Ward ","JER",18,FALSE,NA,14,0,1,128.571428571429,1,"B","Netherlands","The Hague"
2025-07-05,"M Dale-Bradley ","GUE",18,FALSE,NA,14,3,0,128.571428571429,1,"B","Italy","The Hague"
2025-07-06,"Musaddiq Ahmed ","GER",18,FALSE,NA,10,4,0,180,2,"B","Bahrain","Blantyre"
2025-07-07,"G Chohan ","PHI",18,FALSE,NA,9,1,1,200,2,"B","Indonesia","Bali"
2025-07-20,"M Akayezu ","RWN",18,FALSE,NA,8,0,2,225,1,"B","Bahrain","Rwanda"
2025-07-20,"BA King ","West Indies",18,FALSE,14,12,4,0,150,1,"B","Australia","Kingston"
2025-07-20,"JP Inglis ","Australia",18,FALSE,21,8,1,2,225,2,"B","West Indies","Kingston"
2025-07-22,"Zeeshan Ali ","Hong Kong",18,FALSE,NA,18,3,0,100,1,"B","Malaysia","Singapore"
2025-07-22,"D Kansonkho ","MWest Indies",18,FALSE,NA,12,2,1,150,1,"B","Rwanda","Rwanda"
2025-07-22,"SY Nihute ","MWest Indies",18,FALSE,NA,36,1,0,50,1,"B","Rwanda","Rwanda"
2025-07-25,"DM Gondaria ","Kenya",18,FALSE,NA,16,2,0,112.5,1,"B","Uganda","Entebbe"
2025-07-26,"Anoop Orsu ","LUX",18,FALSE,NA,14,1,2,128.571428571429,2,"B","Romania","Szodliget"
2025-07-26,"HE van der Dussen ","South Africa",18,FALSE,22,17,2,0,105.882352941176,2,"B","New Zealand","Harare"
2025-07-26,"BA King ","West Indies",18,FALSE,NA,10,3,1,180,1,"B","Australia","Basseterre"
2025-07-27,"Jordan O'Brien ","FIN",18,FALSE,NA,11,3,0,163.636363636364,2,"B","Estonia","Tallinn"
2025-08-07,"S Houghton ","CRT",18,FALSE,NA,6,1,2,300,2,"B","Cyprus","Zagreb"
2025-08-08,"Mukhtar Ghulami ","Fran",18,FALSE,NA,13,2,1,138.461538461538,2,"B","Norway","Stockholm"
2025-08-08,"A Mundra ","SWE",18,FALSE,NA,10,2,1,180,1,"B","Austria","Stockholm"
2025-08-09,"KD Abeyrathna ","NOR",18,FALSE,NA,9,4,0,200,1,"B","Sweden","Stockholm"
2025-08-09,"Vinay Ravi ","NOR",18,FALSE,NA,15,1,0,120,1,"B","Sweden","Stockholm"
