"","Ground","AvgBatImpact","AvgBowlImpact","BattingScale","BowlingScale","BattingScale2","BowlingScale2"
"70","Mirpur",1.47814554780508,3.30950430513244,-0.865357209690426,0.552918725547224,0.365591187040036,0.526012125959486
"71","Mohali",3.89310353085433,1.91990744934626,2.01664373240082,-1.49055483489661,0.858910990149092,0.168574597129936
"72","Mount Maunganui",2.28800009122718,2.74354806321989,0.101119877481227,-0.27934900152829,0.531025652861886,0.380434651677976
"73","Nagpur",1.56079489666151,3.29660782765621,-0.766723816091299,0.53395379292248,0.382474528610006,0.52269484366965
"74","Nairobi (Gym)",2.56137887495646,2.9375,0.427368995596621,0.00586728487643702,0.586870586276934,0.430323726128395
"75","Napier",2.23479003613259,3.0478293161797,0.0376192161911705,0.168112211968983,0.520156074969877,0.458703063609275
"76","Nelson",2.89244164754829,2.75439814814815,0.822457949192523,-0.263393394269151,0.654499018298564,0.383225552886623
"77","New York",-0.0327108861341777,5.1522096908939,-2.66840707496371,3.26271165564175,0.056958323135767,1
"78","North Sound",1.35002123483494,3.27717968194143,-1.01826023876032,0.505383706619174,0.339418366936513,0.51769746017305
"79","Nottingham",2.51514306783667,2.68117266834271,0.372191373206132,-0.37107522393807,0.577425685195829,0.364390209067277
"80","Paarl",1.88201339328893,3.23310276679842,-0.383382981014547,0.440566338656938,0.448092003789074,0.506359823964718
"81","Pallekele",2.4188000799121,2.73575326033423,0.257216046963844,-0.290811659593041,0.557745051343195,0.378429642045459
"82","Perth",1.72839586394534,3.15071747004114,-0.566709509839263,0.319414527617784,0.416711511928842,0.485168356265154
"83","Port of Spain",0.90610014166968,4.23240574261741,-1.54803384877611,1.9100926990945,0.248735602344589,0.76340443711381
"84","Potchefstroom",2.53049058398073,2.78171487603306,0.390507035961515,-0.223222742645828,0.580560826136394,0.390252068289443
"85","Providence",1.46762551583623,2.8362179578696,-0.877911772650895,-0.143073160965417,0.363442188947314,0.404271563802928
"86","Pune",1.90270683252557,3.50601985216945,-0.35868751558877,0.84190493252815,0.452319192602097,0.576560622249622
"87","Queenstown",3.09432022084196,2.05622529644269,1.06337900972615,-1.29009243805232,0.695738120066877,0.203638806003628
"88","Raipur",1.68176967636596,4.35151515151515,-0.622353010667476,2.08524920356494,0.40718686519054,0.794042224324886
"89","Rajkot",2.59749192856498,2.59587221856244,0.470466165506855,-0.496513917249831,0.594247644023225,0.342448894325125
"90","Ranchi",1.90629886929729,2.49979482323232,-0.354400793652913,-0.637800662607582,0.453052962251682,0.317735491570809
"91","Rawalpindi",2.56468210485429,2.14111152323395,0.43131105659491,-1.16526288092466,0.587545359392763,0.225473572691242
