Team 1,Team 2,Winner,Margin,Ground,Match Date,ID
Oman,U.A.E.,Oman,5 wickets,Al Amerat,13-Oct-25,3518
Japan,Samoa,Japan,4 runs,Al Amerat,12-Oct-25,3517
Nepal,U.A.E.,Nepal,1 run,Al Amerat,12-Oct-25,3516
Oman,Qatar,Oman,34 runs,Al Amerat,12-Oct-25,3515
Namibia,South Africa,Namibia,4 wickets,Windhoek,11-Oct-25,3514
Oman,P.N.G.,Oman,52 runs,Al Amerat,10-Oct-25,3513
Japan,Nepal,Nepal,5 wickets,Al Amerat,10-Oct-25,3512
Malaysia,U.A.E.,U.A.E.,6 wickets,Al Amerat,10-Oct-25,3511
P.N.G.,Samoa,Samoa,6 wickets,Al Amerat,9-Oct-25,3510
Japan,Kuwait,Japan,5 wickets,Al Amerat,9-Oct-25,3509
Malaysia,Qatar,Qatar,8 wickets,Al Amerat,9-Oct-25,3508
Kuwait,Nepal,Nepal,58 runs,Al Amerat,8-Oct-25,3507
Qatar,U.A.E.,U.A.E.,7 wickets,Al Amerat,8-Oct-25,3506
Oman,Samoa,Oman,5 wickets,Al Amerat,8-Oct-25,3505
Afghanistan,Bangladesh,Bangladesh,6 wickets,Sharjah,5-Oct-25,3504
Nigeria,Uganda,Uganda,66 runs,Harare,4-Oct-25,3502
Zimbabwe,Namibia,Zimbabwe,7 wickets,Harare,4-Oct-25,3503
Botswana,Malawi,Malawi,56 runs,Harare,4-Oct-25,3500
Kenya,Tanzania,Kenya,51 runs,Harare,4-Oct-25,3501
New Zealand,Australia,Australia,3 wickets,Mount Maunganui,4-Oct-25,3499
Afghanistan,Bangladesh,Bangladesh,2 wickets,Sharjah,3-Oct-25,3498
New Zealand,Australia,no result,-,Mount Maunganui,3-Oct-25,3497
Afghanistan,Bangladesh,Bangladesh,4 wickets,Sharjah,2-Oct-25,3496
Malawi,Uganda,Uganda,117 runs,Harare,2-Oct-25,3494
Zimbabwe,Kenya,Zimbabwe,7 wickets,Harare,2-Oct-25,3495
Botswana,Nigeria,Nigeria,44 runs,Harare,2-Oct-25,3492
Namibia,Tanzania,Namibia,63 runs,Harare,2-Oct-25,3493
New Zealand,Australia,Australia,6 wickets,Mount Maunganui,1-Oct-25,3491
Nepal,West Indies,West Indies,10 wickets,Sharjah,30-Sep-25,3490
Malawi,Namibia,Namibia,8 wickets,Harare,30-Sep-25,3488
Kenya,Nigeria,Kenya,7 wickets,Harare,30-Sep-25,3489
Oman,Kuwait,Oman,5 wickets,Al Amerat,30-Sep-25,3487
Zimbabwe,Tanzania,Zimbabwe,113 runs,Harare,30-Sep-25,3485
Botswana,Uganda,Uganda,8 wickets,Harare,30-Sep-25,3486
Oman,Kuwait,Oman,5 wickets,Al Amerat,29-Sep-25,3484
Nepal,West Indies,Nepal,90 runs,Sharjah,29-Sep-25,3483
India,Pakistan,India,5 wickets,Dubai (DICS),28-Sep-25,3482
Zimbabwe,Botswana,Zimbabwe,170 runs,Harare,28-Sep-25,3480
Kenya,Malawi,Malawi,3 runs,Harare,28-Sep-25,3481
Namibia,Nigeria,Namibia,117 runs,Harare,28-Sep-25,3478
Tanzania,Uganda,Tanzania,9 runs,Harare,28-Sep-25,3479
Nepal,West Indies,Nepal,19 runs,Sharjah,27-Sep-25,3477
India,Sri Lanka,tied,-,Dubai (DICS),26-Sep-25,3476
Zimbabwe,Uganda,Zimbabwe,5 wickets,Harare,26-Sep-25,3474
Botswana,Tanzania,Tanzania,7 wickets,Harare,26-Sep-25,3475
Kenya,Namibia,Namibia,136 runs,Harare,26-Sep-25,3472
Malawi,Nigeria,Nigeria,9 wickets,Harare,26-Sep-25,3473
Bangladesh,Pakistan,Pakistan,11 runs,Dubai (DICS),25-Sep-25,3471
Bangladesh,India,India,41 runs,Dubai (DICS),24-Sep-25,3470
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,23-Sep-25,3469
India,Pakistan,India,6 wickets,Dubai (DICS),21-Sep-25,3468
Ireland,England,England,6 wickets,Dublin (Malahide),21-Sep-25,3467
Bangladesh,Sri Lanka,Bangladesh,4 wickets,Dubai (DICS),20-Sep-25,3466
India,Oman,India,21 runs,Abu Dhabi,19-Sep-25,3465
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Abu Dhabi,18-Sep-25,3464
Zimbabwe,Namibia,Namibia,28 runs,Bulawayo,18-Sep-25,3463
U.A.E.,Pakistan,Pakistan,41 runs,Dubai (DICS),17-Sep-25,3462
Ireland,England,England,4 wickets,Dublin (Malahide),17-Sep-25,3461
Afghanistan,Bangladesh,Bangladesh,8 runs,Abu Dhabi,16-Sep-25,3460
Zimbabwe,Namibia,Zimbabwe,5 wickets,Bulawayo,16-Sep-25,3459
Hong Kong,Sri Lanka,Sri Lanka,4 wickets,Dubai (DICS),15-Sep-25,3458
U.A.E.,Oman,U.A.E.,42 runs,Abu Dhabi,15-Sep-25,3457
Zimbabwe,Namibia,Zimbabwe,33 runs,Bulawayo,15-Sep-25,3456
India,Pakistan,India,7 wickets,Dubai (DICS),14-Sep-25,3455
Eswatini,Mozambique,no result,-,Malkerns,14-Sep-25,3454
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Abu Dhabi,13-Sep-25,3453
Eswatini,Mozambique,tied,-,Malkerns,13-Sep-25,3452
Eswatini,Mozambique,Eswatini,74 runs,Malkerns,13-Sep-25,3451
England,South Africa,England,146 runs,Manchester,12-Sep-25,3450
Oman,Pakistan,Pakistan,93 runs,Dubai (DICS),12-Sep-25,3449
Eswatini,Mozambique,Eswatini,5 runs,Malkerns,12-Sep-25,3448
Eswatini,Mozambique,Eswatini,31 runs,Malkerns,12-Sep-25,3447
Bangladesh,Hong Kong,Bangladesh,7 wickets,Abu Dhabi,11-Sep-25,3446
England,South Africa,South Africa,14 runs,Cardiff,10-Sep-25,3445
U.A.E.,India,India,9 wickets,Dubai (DICS),10-Sep-25,3444
Afghanistan,Hong Kong,Afghanistan,94 runs,Abu Dhabi,9-Sep-25,3443
Afghanistan,Pakistan,Pakistan,75 runs,Sharjah,7-Sep-25,3442
Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,7-Sep-25,3441
Isle of Man,Sweden,Sweden,3 wickets,Tromode,6-Sep-25,3440
Zimbabwe,Sri Lanka,Zimbabwe,5 wickets,Harare,6-Sep-25,3439
Isle of Man,Sweden,Sweden,10 wickets,Tromode,6-Sep-25,3438
U.A.E.,Afghanistan,Afghanistan,4 runs,Sharjah,5-Sep-25,3437
U.A.E.,Pakistan,Pakistan,31 runs,Sharjah,4-Sep-25,3436
Bangladesh,Netherlands,no result,-,Sylhet,3-Sep-25,3435
Zimbabwe,Sri Lanka,Sri Lanka,4 wickets,Harare,3-Sep-25,3434
Afghanistan,Pakistan,Afghanistan,18 runs,Sharjah,2-Sep-25,3433
U.A.E.,Afghanistan,Afghanistan,38 runs,Sharjah,1-Sep-25,3432
Bangladesh,Netherlands,Bangladesh,9 wickets,Sylhet,1-Sep-25,3431
Hungary,Serbia,Hungary,34 runs,Szodliget,31-Aug-25,3430
Guernsey,Switzerland,Guernsey,7 wickets,Castel,31-Aug-25,3429
Croatia,Serbia,Serbia,8 wickets,Szodliget,31-Aug-25,3428
Guernsey,Switzerland,no result,-,Castel,30-Aug-25,3427
U.A.E.,Pakistan,Pakistan,31 runs,Sharjah,30-Aug-25,3426
Bangladesh,Netherlands,Bangladesh,8 wickets,Sylhet,30-Aug-25,3425
Guernsey,Switzerland,no result,-,Castel,30-Aug-25,3424
Hungary,Serbia,Serbia,5 runs,Szodliget,30-Aug-25,3423
Croatia,Serbia,Serbia,84 runs,Szodliget,30-Aug-25,3422
Afghanistan,Pakistan,Pakistan,39 runs,Sharjah,29-Aug-25,3421
Hungary,Croatia,Hungary,4 wickets,Szodliget,29-Aug-25,3420
Hungary,Serbia,Serbia,6 wickets,Szodliget,29-Aug-25,3419
Austria,Belgium,Austria,4 wickets,Latschach,24-Aug-25,3418
Austria,Belgium,Austria,4 wickets,Latschach,24-Aug-25,3417
Austria,Belgium,Austria,38 runs,Latschach,23-Aug-25,3416
Austria,Belgium,Austria,6 wickets,Latschach,23-Aug-25,3415
Romania,Czech Rep.,Czech Rep.,4 wickets,Ilfov County,22-Aug-25,3414
Romania,Czech Rep.,Romania,25 runs,Ilfov County,22-Aug-25,3413
Romania,Czech Rep.,Romania,18 runs,Ilfov County,21-Aug-25,3412
Romania,Czech Rep.,Czech Rep.,18 runs,Ilfov County,21-Aug-25,3411
Norway,Hungary,Norway,32 runs,Oslo,17-Aug-25,3410
Hungary,Sweden,Sweden,79 runs,Oslo,17-Aug-25,3409
Norway,Sweden,Norway,3 wickets,Oslo,17-Aug-25,3408
Australia,South Africa,Australia,2 wickets,Cairns,16-Aug-25,3407
Guernsey,P.N.G.,P.N.G.,6 wickets,Castel,14-Aug-25,3406
Australia,South Africa,South Africa,53 runs,Darwin,12-Aug-25,3405
Austria,Norway,Austria,8 wickets,Stockholm,10-Aug-25,3404
Australia,South Africa,Australia,17 runs,Darwin,10-Aug-25,3403
Sweden,France,France,2 wickets,Stockholm,10-Aug-25,3402
Austria,France,Austria,6 wickets,Stockholm,9-Aug-25,3401
Sweden,Norway,Norway,23 runs,Stockholm,9-Aug-25,3400
Sweden,Austria,Austria,4 wickets,Stockholm,8-Aug-25,3399
Croatia,Cyprus,Cyprus,52 runs,Zagreb,8-Aug-25,3398
France,Norway,Norway,22 runs,Stockholm,8-Aug-25,3397
Croatia,Cyprus,Cyprus,3 wickets,Zagreb,8-Aug-25,3396
Sweden,France,Sweden,34 runs,Stockholm,7-Aug-25,3395
Croatia,Cyprus,Cyprus,7 wickets,Zagreb,7-Aug-25,3394
Austria,Norway,Austria,4 wickets,Stockholm,7-Aug-25,3393
Croatia,Cyprus,Cyprus,58 runs,Zagreb,7-Aug-25,3392
Pakistan,West Indies,Pakistan,13 runs,Lauderhill,3-Aug-25,3391
Estonia,Switzerland,Switzerland,41 runs,Tallinn,3-Aug-25,3390
Estonia,Switzerland,Switzerland,15 runs,Tallinn,3-Aug-25,3389
Pakistan,West Indies,West Indies,2 wickets,Lauderhill,2-Aug-25,3388
Estonia,Switzerland,Switzerland,72 runs,Tallinn,2-Aug-25,3387
Pakistan,West Indies,Pakistan,14 runs,Lauderhill,31-Jul-25,3386
West Indies,Australia,Australia,3 wickets,Basseterre,28-Jul-25,3385
Estonia,Finland,Finland,5 wickets,Tallinn,27-Jul-25,3384
Bahrain,Malawi,Bahrain,94 runs,Rwanda,27-Jul-25,3383
Uganda,U.A.E.,Uganda,8 runs,Entebbe,27-Jul-25,3382
Austria,Romania,no result,-,Szodliget,27-Jul-25,3381
Kenya,Nigeria,Kenya,6 wickets,Entebbe,27-Jul-25,3380
Hungary,Luxembourg,Hungary,37 runs,Szodliget,27-Jul-25,3379
West Indies,Australia,Australia,3 wickets,Basseterre,26-Jul-25,3378
Austria,Luxembourg,Austria,66 runs,Szodliget,26-Jul-25,3377
Estonia,Finland,Estonia,4 wickets,Tallinn,26-Jul-25,3376
Rwanda,Malawi,Malawi,9 wickets,Rwanda,26-Jul-25,3375
New Zealand,South Africa,New Zealand,3 runs,Harare,26-Jul-25,3374
Hungary,Austria,Austria,4 wickets,Szodliget,26-Jul-25,3373
Nigeria,U.A.E.,U.A.E.,53 runs,Entebbe,26-Jul-25,3372
Hong Kong,Malaysia,Malaysia,10 wickets,Singapore,26-Jul-25,3370
Luxembourg,Romania,Romania,45 runs,Szodliget,26-Jul-25,3371
West Indies,Australia,Australia,6 wickets,Basseterre,25-Jul-25,3369
Hungary,Luxembourg,Hungary,70 runs,Szodliget,25-Jul-25,3368
Estonia,Finland,Finland,16 runs,Tallinn,25-Jul-25,3367
Bahrain,Malawi,Bahrain,8 wickets,Rwanda,25-Jul-25,3366
Hungary,Romania,Romania,10 wickets,Szodliget,25-Jul-25,3365
Rwanda,Bahrain,Bahrain,114 runs,Rwanda,25-Jul-25,3364
Uganda,Kenya,Uganda,6 wickets,Entebbe,25-Jul-25,3363
Austria,Romania,Austria,7 wickets,Szodliget,25-Jul-25,3362
Bangladesh,Pakistan,Pakistan,74 runs,Mirpur,24-Jul-25,3361
Zimbabwe,New Zealand,New Zealand,60 runs,Harare,24-Jul-25,3360
Singapore,Hong Kong,Hong Kong,52 runs,Singapore,24-Jul-25,3359
Malaysia,Samoa,Malaysia,6 wickets,Singapore,24-Jul-25,3358
Qatar,Saudi Arabia,tied,-,Doha,23-Jul-25,3357
Bahrain,Malawi,Bahrain,45 runs,Rwanda,23-Jul-25,3356
Rwanda,Malawi,Malawi,6 wickets,Rwanda,23-Jul-25,3355
Kenya,U.A.E.,U.A.E.,7 wickets,Entebbe,23-Jul-25,3354
Singapore,Malaysia,Malaysia,65 runs,Singapore,23-Jul-25,3353
Hong Kong,Samoa,Hong Kong,3 wickets,Singapore,23-Jul-25,3352
West Indies,Australia,Australia,8 wickets,Kingston,22-Jul-25,3351
Qatar,Saudi Arabia,Qatar,32 runs,Doha,22-Jul-25,3350
Bangladesh,Pakistan,Bangladesh,8 runs,Mirpur,22-Jul-25,3349
Rwanda,Bahrain,Bahrain,112 runs,Rwanda,22-Jul-25,3348
New Zealand,South Africa,New Zealand,7 wickets,Harare,22-Jul-25,3347
Uganda,Nigeria,Uganda,38 runs,Entebbe,22-Jul-25,3346
Rwanda,Malawi,Rwanda,4 wickets,Rwanda,22-Jul-25,3345
Singapore,Samoa,Singapore,3 wickets,Singapore,22-Jul-25,3344
Hong Kong,Malaysia,Malaysia,7 wickets,Singapore,22-Jul-25,3343
Qatar,Saudi Arabia,Qatar,4 wickets,Doha,21-Jul-25,3342
Uganda,Kenya,Uganda,28 runs,Entebbe,21-Jul-25,3341
Nigeria,U.A.E.,U.A.E.,7 wickets,Entebbe,21-Jul-25,3340
West Indies,Australia,Australia,3 wickets,Kingston,20-Jul-25,3339
Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,20-Jul-25,3338
Rwanda,Bahrain,Bahrain,7 wickets,Rwanda,20-Jul-25,3337
Zimbabwe,South Africa,South Africa,7 wickets,Harare,20-Jul-25,3336
Bahrain,Malawi,Bahrain,9 wickets,Rwanda,20-Jul-25,3335
Malaysia,Samoa,Malaysia,6 wickets,Singapore,20-Jul-25,3334
Singapore,Hong Kong,Hong Kong,52 runs,Singapore,20-Jul-25,3333
Qatar,Saudi Arabia,Saudi Arabia,4 wickets,Doha,19-Jul-25,3332
Rwanda,Malawi,Rwanda,6 wickets,Rwanda,19-Jul-25,3331
Uganda,U.A.E.,Uganda,6 runs,Entebbe,19-Jul-25,3330
Bahrain,Malawi,Bahrain,9 wickets,Rwanda,19-Jul-25,3329
Hong Kong,Samoa,Hong Kong,54 runs,Singapore,19-Jul-25,3328
Singapore,Malaysia,Malaysia,6 wickets,Singapore,19-Jul-25,3327
Qatar,Saudi Arabia,Qatar,1 run,Doha,18-Jul-25,3326
Rwanda,Bahrain,Bahrain,8 wickets,Rwanda,18-Jul-25,3325
Zimbabwe,New Zealand,New Zealand,8 wickets,Harare,18-Jul-25,3324
Kenya,U.A.E.,U.A.E.,40 runs,Entebbe,18-Jul-25,3323
Uganda,Nigeria,Uganda,77 runs,Entebbe,18-Jul-25,3322
Singapore,Samoa,Singapore,52 runs,Singapore,18-Jul-25,3321
Hong Kong,Malaysia,Malaysia,5 wickets,Singapore,18-Jul-25,3320
Kenya,Nigeria,Kenya,20 runs,Entebbe,17-Jul-25,3319
Sri Lanka,Bangladesh,Bangladesh,8 wickets,Colombo (RPS),16-Jul-25,3318
New Zealand,South Africa,New Zealand,21 runs,Harare,16-Jul-25,3317
Zimbabwe,South Africa,South Africa,5 wickets,Harare,14-Jul-25,3316
Sri Lanka,Bangladesh,Bangladesh,83 runs,Dambulla,13-Jul-25,3315
Bahrain,Tanzania,Tanzania,10 wickets,Blantyre,13-Jul-25,3314
Malawi,Germany,Germany,37 runs,Blantyre,13-Jul-25,3313
Bulgaria,Gibraltar,Bulgaria,8 wickets,Sofia,13-Jul-25,3312
Indonesia,South Korea,Indonesia,7 wickets,Bali,13-Jul-25,3311
Indonesia,Philippines,Philippines,6 wickets,Bali,13-Jul-25,3310
Germany,Tanzania,Tanzania,5 wickets,Blantyre,12-Jul-25,3309
Gibraltar,Turkey,Gibraltar,5 wickets,Sofia,12-Jul-25,3308
Malawi,Bahrain,Bahrain,10 wickets,Blantyre,12-Jul-25,3307
Bulgaria,Turkey,Turkey,59 runs,Sofia,12-Jul-25,3306
Philippines,South Korea,Philippines,85 runs,Bali,12-Jul-25,3305
Indonesia,South Korea,South Korea,3 wickets,Bali,12-Jul-25,3304
Netherlands,Italy,Netherlands,9 wickets,The Hague,11-Jul-25,3303
Bulgaria,Gibraltar,Bulgaria,6 wickets,Sofia,11-Jul-25,3302
Jersey,Scotland,Jersey,1 wicket,The Hague,11-Jul-25,3301
Gibraltar,Turkey,Gibraltar,7 wickets,Sofia,11-Jul-25,3300
Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Pallekele,10-Jul-25,3299
Malawi,Germany,Malawi,8 runs,Blantyre,10-Jul-25,3298
Bulgaria,Turkey,Bulgaria,8 wickets,Sofia,10-Jul-25,3297
Bahrain,Tanzania,Bahrain,6 wickets,Blantyre,10-Jul-25,3296
Bulgaria,Gibraltar,Gibraltar,6 wickets,Sofia,10-Jul-25,3295
Philippines,South Korea,Philippines,112 runs,Bali,10-Jul-25,3294
Indonesia,Philippines,Philippines,9 wickets,Bali,10-Jul-25,3293
Netherlands,Guernsey,Netherlands,73 runs,The Hague,9-Jul-25,3292
Italy,Scotland,Italy,12 runs,The Hague,9-Jul-25,3291
Indonesia,South Korea,Indonesia,10 wickets,Bali,9-Jul-25,3290
Philippines,South Korea,South Korea,39 runs,Bali,9-Jul-25,3289
Netherlands,Scotland,Scotland,6 runs,The Hague,8-Jul-25,3288
Bahrain,Tanzania,Tanzania,6 wickets,Blantyre,8-Jul-25,3287
Guernsey,Jersey,Jersey,22 runs,The Hague,8-Jul-25,3286
Indonesia,South Korea,Indonesia,52 runs,Bali,8-Jul-25,3285
Malawi,Bahrain,Bahrain,7 wickets,Blantyre,7-Jul-25,3284
Germany,Tanzania,Germany,4 wickets,Blantyre,7-Jul-25,3283
Indonesia,Philippines,Indonesia,45 runs,Bali,7-Jul-25,3282
Philippines,South Korea,Philippines,7 wickets,Bali,7-Jul-25,3281
Bahrain,Germany,Bahrain,46 runs,Blantyre,6-Jul-25,3280
Malawi,Tanzania,Tanzania,72 runs,Blantyre,6-Jul-25,3279
Indonesia,Philippines,Philippines,53 runs,Bali,6-Jul-25,3278
Guernsey,Italy,Italy,7 wickets,The Hague,5-Jul-25,3277
Malawi,Germany,Germany,5 wickets,Blantyre,5-Jul-25,3276
Netherlands,Jersey,Netherlands,7 wickets,The Hague,5-Jul-25,3275
France,Hungary,Hungary,52 runs,Ilfov County,29-Jun-25,3274
Austria,Malta,Malta,47 runs,Ilfov County,29-Jun-25,3273
Romania,Belgium,Belgium,63 runs,Ilfov County,29-Jun-25,3272
Romania,Malta,Malta,13 runs,Ilfov County,28-Jun-25,3271
Austria,Belgium,Austria,4 wickets,Ilfov County,28-Jun-25,3270
Romania,Hungary,Romania,7 wickets,Ilfov County,27-Jun-25,3269
Belgium,France,Belgium,16 runs,Ilfov County,27-Jun-25,3268
Austria,Hungary,Austria,8 wickets,Ilfov County,27-Jun-25,3267
Belgium,Malta,Belgium,65 runs,Ilfov County,26-Jun-25,3266
Romania,Austria,Romania,6 wickets,Ilfov County,26-Jun-25,3265
France,Malta,Malta,6 wickets,Ilfov County,26-Jun-25,3264
Canada,Bermuda,Canada,6 wickets,King City (NW),22-Jun-25,3263
Bahamas,Cayman,Cayman,49 runs,King City (NW),22-Jun-25,3262
Luxembourg,Switzerland,Luxembourg,7 wickets,Walferdange,22-Jun-25,3261
Hungary,Slovenia,Hungary,9 wickets,Szodliget,22-Jun-25,3260
Bermuda,Cayman,Cayman,9 wickets,King City (NW),21-Jun-25,3259
Canada,Bahamas,Canada,7 wickets,King City (NW),21-Jun-25,3258
Luxembourg,Switzerland,Switzerland,11 runs,Walferdange,21-Jun-25,3257
Hungary,Slovenia,Hungary,62 runs,Szodliget,21-Jun-25,3256
Luxembourg,Switzerland,Switzerland,57 runs,Walferdange,21-Jun-25,3255
Hungary,Slovenia,Hungary,122 runs,Szodliget,21-Jun-25,3254
Scotland,Nepal,Scotland,34 runs,Glasgow,20-Jun-25,3253
Canada,Cayman,Canada,42 runs,King City (NW),19-Jun-25,3252
Bahamas,Bermuda,Bermuda,26 runs,King City (NW),19-Jun-25,3251
Nepal,Netherlands,Nepal,6 wickets,Glasgow,19-Jun-25,3250
Canada,Bahamas,Canada,10 wickets,King City (NW),18-Jun-25,3249
Bermuda,Cayman,Bermuda,7 wickets,King City (NW),18-Jun-25,3248
Scotland,Netherlands,Netherlands,17 runs,Glasgow,18-Jun-25,3247
Scotland,Nepal,Nepal,2 wickets,Glasgow,17-Jun-25,3246
Bahamas,Bermuda,Bermuda,7 wickets,King City (NW),16-Jun-25,3245
Canada,Cayman,Canada,59 runs,King City (NW),16-Jun-25,3244
Nepal,Netherlands,tied,-,Glasgow,16-Jun-25,3243
Indonesia,Cambodia,Indonesia,4 wickets,Bali,16-Jun-25,3242
Bahamas,Cayman,Cayman,38 runs,King City (NW),15-Jun-25,3241
Canada,Bermuda,Canada,110 runs,King City (NW),15-Jun-25,3240
Ireland,West Indies,West Indies,62 runs,Bready,15-Jun-25,3238
Scotland,Netherlands,Scotland,39 runs,Glasgow,15-Jun-25,3239
Finland,Norway,Finland,22 runs,Ishoj,15-Jun-25,3237
Norway,Sweden,Norway,2 wickets,Ishoj,15-Jun-25,3236
Indonesia,Cambodia,Cambodia,10 wickets,Bali,15-Jun-25,3235
Indonesia,Cambodia,Cambodia,9 wickets,Bali,15-Jun-25,3234
Finland,Sweden,Sweden,71 runs,Ishoj,14-Jun-25,3233
Denmark,Norway,Norway,9 wickets,Koge,14-Jun-25,3232
Denmark,Sweden,Denmark,18 runs,Koge,14-Jun-25,3231
Finland,Norway,Finland,11 runs,Ishoj,14-Jun-25,3230
Indonesia,Cambodia,no result,-,Bali,14-Jun-25,3229
Indonesia,Cambodia,Indonesia,9 wickets,Bali,14-Jun-25,3228
Canada,Cayman,Canada,126 runs,King City (NE),13-Jun-25,3227
Bahamas,Bermuda,Bermuda,18 runs,King City (NE),13-Jun-25,3226
Denmark,Finland,Denmark,121 runs,Ishoj,13-Jun-25,3225
Bermuda,Cayman,Bermuda,30 runs,King City (NE),12-Jun-25,3224
Canada,Bahamas,Canada,107 runs,King City (NE),12-Jun-25,3223
Indonesia,Cambodia,Cambodia,6 wickets,Bali,12-Jun-25,3222
Indonesia,Cambodia,Cambodia,5 wickets,Bali,12-Jun-25,3221
Bahamas,Cayman,Cayman,5 wickets,King City (NE),11-Jun-25,3220
Indonesia,Cambodia,Cambodia,8 wickets,Bali,11-Jun-25,3219
England,West Indies,England,37 runs,Southampton,10-Jun-25,3218
Austria,Norway,Austria,9 wickets,Vinor,10-Jun-25,3217
Czech Rep.,Norway,Norway,41 runs,Vinor,10-Jun-25,3216
Czech Rep.,Austria,Austria,161 runs,Vinor,9-Jun-25,3215
Austria,Norway,Norway,22 runs,Vinor,9-Jun-25,3214
England,West Indies,England,4 wickets,Bristol,8-Jun-25,3213
Czech Rep.,Norway,Norway,37 runs,Vinor,8-Jun-25,3212
Serbia,Slovenia,Serbia,24 runs,Belgrade,8-Jun-25,3211
Czech Rep.,Austria,Austria,10 wickets,Vinor,8-Jun-25,3210
Jersey,Guernsey,Jersey,3 runs,St Saviour,7-Jun-25,3209
Jersey,Guernsey,Jersey,7 wickets,St Saviour,7-Jun-25,3207
Serbia,Slovenia,Serbia,9 wickets,Belgrade,7-Jun-25,3208
Serbia,Slovenia,Serbia,3 runs,Belgrade,7-Jun-25,3206
England,West Indies,England,21 runs,Chester-le-Street,6-Jun-25,3205
Jersey,Guernsey,Guernsey,13 runs,St Saviour,6-Jun-25,3204
Pakistan,Bangladesh,Pakistan,7 wickets,Lahore,1-Jun-25,3203
Austria,Switzerland,Austria,17 runs,Latschach,1-Jun-25,3201
Belgium,Portugal,Belgium,44 runs,Zemst,1-Jun-25,3202
Belgium,Portugal,Portugal,5 wickets,Zemst,31-May-25,3200
Austria,Switzerland,Switzerland,3 wickets,Latschach,31-May-25,3199
Malta,Portugal,Portugal,8 wickets,Zemst,31-May-25,3198
Austria,Switzerland,Austria,17 runs,Latschach,31-May-25,3197
Belgium,Malta,Belgium,103 runs,Zemst,31-May-25,3196
Belgium,Portugal,Portugal,5 wickets,Zemst,30-May-25,3195
Pakistan,Bangladesh,Pakistan,57 runs,Lahore,30-May-25,3194
Austria,Switzerland,Austria,29 runs,Latschach,30-May-25,3193
Malta,Portugal,Portugal,8 wickets,Zemst,30-May-25,3192
Belgium,Malta,Belgium,6 wickets,Zemst,30-May-25,3191
Pakistan,Bangladesh,Pakistan,37 runs,Lahore,28-May-25,3190
U.A.E.,Bangladesh,U.A.E.,7 wickets,Sharjah,21-May-25,3189
U.A.E.,Bangladesh,U.A.E.,2 wickets,Sharjah,19-May-25,3188
Austria,Slovenia,Austria,168 runs,Graz,18-May-25,3187
Austria,Slovenia,Austria,5 wickets,Graz,18-May-25,3186
U.A.E.,Bangladesh,Bangladesh,27 runs,Sharjah,17-May-25,3185
Austria,Slovenia,Austria,110 runs,Latschach,17-May-25,3184
Austria,Slovenia,Austria,75 runs,Latschach,17-May-25,3183
Japan,Cook Islands,Japan,42 runs,Sano,14-May-25,3182
Japan,Cook Islands,Japan,2 wickets,Sano,13-May-25,3181
Japan,Thailand,Thailand,6 wickets,Sano,11-May-25,3180
Japan,Cook Islands,Japan,34 runs,Sano,9-May-25,3179
Cook Islands,Thailand,Thailand,8 wickets,Sano,9-May-25,3178
Japan,Thailand,Japan,61 runs,Sano,8-May-25,3177
Malta,Estonia,Malta,101 runs,Marsa,7-May-25,3176
Cook Islands,Thailand,Cook Islands,3 wickets,Sano,7-May-25,3175
Malta,Estonia,Estonia,4 wickets,Marsa,6-May-25,3174
Malta,Estonia,Malta,26 runs,Marsa,6-May-25,3173
Malaysia,Saudi Arabia,Malaysia,18 runs,Kuala Lumpur,2-May-25,3172
Singapore,Thailand,Singapore,30 runs,Kuala Lumpur,2-May-25,3171
Malaysia,Saudi Arabia,Saudi Arabia,7 wickets,Kuala Lumpur,30-Apr-25,3170
Saudi Arabia,Singapore,Saudi Arabia,7 wickets,Kuala Lumpur,29-Apr-25,3169
Malaysia,Thailand,Malaysia,70 runs,Kuala Lumpur,29-Apr-25,3168
Malaysia,Singapore,no result,-,Kuala Lumpur,28-Apr-25,3167
Saudi Arabia,Thailand,Saudi Arabia,39 runs,Kuala Lumpur,28-Apr-25,3166
Canada,U.S.A.,U.S.A.,6 wickets,George Town,27-Apr-25,3165
Bermuda,U.S.A.,U.S.A.,10 wickets,George Town,26-Apr-25,3164
Cayman,Canada,Canada,10 wickets,George Town,26-Apr-25,3163
Singapore,Thailand,Singapore,10 runs,Kuala Lumpur,26-Apr-25,3162
Malaysia,Saudi Arabia,Malaysia,5 wickets,Kuala Lumpur,26-Apr-25,3161
Saudi Arabia,Singapore,Saudi Arabia,96 runs,Kuala Lumpur,25-Apr-25,3160
Malaysia,Thailand,Malaysia,7 wickets,Kuala Lumpur,25-Apr-25,3159
Canada,U.S.A.,Canada,17 runs,George Town,24-Apr-25,3158
Cayman,Bahamas,Cayman,79 runs,George Town,24-Apr-25,3157
Saudi Arabia,Thailand,Saudi Arabia,66 runs,Kuala Lumpur,24-Apr-25,3156
Malaysia,Singapore,Malaysia,28 runs,Kuala Lumpur,24-Apr-25,3155
