Team 1,Team 2,Winner,Margin,Ground,Match Date,ID
Netherlands,Scotland,Netherlands,3 wickets,ICCA Dubai,22-Mar-12,236
Afghanistan,Canada,Afghanistan,41 runs,ICCA Dubai,18-Mar-12,235
Ireland,Scotland,Ireland,17 runs,Dubai (DICS),18-Mar-12,234
Afghanistan,Netherlands,Afghanistan,4 wickets,Dubai (DICS),14-Mar-12,233
Ireland,Kenya,Ireland,10 wickets,Dubai (DICS),14-Mar-12,232
Canada,Netherlands,Netherlands,42 runs,Dubai (DICS),13-Mar-12,231
Kenya,Scotland,Scotland,14 runs,ICCA Dubai,13-Mar-12,230
England,Pakistan,England,5 runs,Abu Dhabi,27-Feb-12,229
England,Pakistan,England,38 runs,Dubai (DICS),25-Feb-12,228
Kenya,Ireland,Ireland,2 runs,Mombasa,24-Feb-12,227
England,Pakistan,Pakistan,8 runs,Dubai (DICS),23-Feb-12,226
Kenya,Ireland,Ireland,8 wickets,Mombasa,23-Feb-12,225
Kenya,Ireland,Ireland,6 wickets,Mombasa,22-Feb-12,224
New Zealand,South Africa,South Africa,3 runs,Auckland,22-Feb-12,223
New Zealand,South Africa,South Africa,8 wickets,Hamilton,19-Feb-12,222
New Zealand,South Africa,New Zealand,6 wickets,Wellington,17-Feb-12,221
New Zealand,Zimbabwe,New Zealand,5 wickets,Hamilton,14-Feb-12,220
New Zealand,Zimbabwe,New Zealand,7 wickets,Auckland,11-Feb-12,219
Australia,India,India,8 wickets,Melbourne,3-Feb-12,218
Australia,India,Australia,31 runs,Sydney,1-Feb-12,217
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,29-Nov-11,216
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,25-Nov-11,215
India,England,England,6 wickets,Eden Gardens,29-Oct-11,214
Zimbabwe,New Zealand,New Zealand,34 runs,Harare,17-Oct-11,213
South Africa,Australia,South Africa,3 wickets,Johannesburg,16-Oct-11,212
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,15-Oct-11,211
South Africa,Australia,Australia,5 wickets,Cape Town,13-Oct-11,210
Bangladesh,West Indies,Bangladesh,3 wickets,Mirpur,11-Oct-11,209
England,West Indies,West Indies,25 runs,The Oval,25-Sep-11,208
England,West Indies,England,10 wickets,The Oval,23-Sep-11,207
Zimbabwe,Pakistan,Pakistan,5 runs,Harare,18-Sep-11,206
Zimbabwe,Pakistan,Pakistan,85 runs,Harare,16-Sep-11,205
England,India,England,6 wickets,Manchester,31-Aug-11,204
Sri Lanka,Australia,Sri Lanka,8 runs,Pallekele,8-Aug-11,203
Sri Lanka,Australia,Sri Lanka,35 runs,Pallekele,6-Aug-11,202
England,Sri Lanka,Sri Lanka,9 wickets,Bristol,25-Jun-11,201
West Indies,India,India,16 runs,Port of Spain,4-Jun-11,200
West Indies,Pakistan,West Indies,7 runs,Gros Islet,21-Apr-11,199
Australia,England,Australia,4 runs,Melbourne,14-Jan-11,198
Australia,England,England,1 wicket,Adelaide,12-Jan-11,197
South Africa,India,India,21 runs,Durban,9-Jan-11,196
New Zealand,Pakistan,Pakistan,103 runs,Christchurch,30-Dec-10,195
New Zealand,Pakistan,New Zealand,39 runs,Hamilton,28-Dec-10,194
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,26-Dec-10,193
Australia,Sri Lanka,Sri Lanka,7 wickets,W.A.C.A,31-Oct-10,192
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,27-Oct-10,191
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,26-Oct-10,190
South Africa,Zimbabwe,South Africa,8 runs,Kimberley,10-Oct-10,189
South Africa,Zimbabwe,South Africa,7 wickets,Bloemfontein,8-Oct-10,188
England,Pakistan,England,6 wickets,Cardiff,7-Sep-10,187
England,Pakistan,England,5 wickets,Cardiff,5-Sep-10,186
Australia,Pakistan,Pakistan,11 runs,Birmingham,6-Jul-10,185
Australia,Pakistan,Pakistan,23 runs,Birmingham,5-Jul-10,184
Zimbabwe,India,India,7 wickets,Harare,13-Jun-10,183
Zimbabwe,India,India,6 wickets,Harare,12-Jun-10,182
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Lauderhill,23-May-10,181
New Zealand,Sri Lanka,New Zealand,28 runs,Lauderhill,22-May-10,180
West Indies,South Africa,South Africa,1 run,North Sound,20-May-10,179
West Indies,South Africa,South Africa,13 runs,North Sound,19-May-10,178
Australia,England,England,7 wickets,Bridgetown,16-May-10,177
Australia,Pakistan,Australia,3 wickets,Gros Islet,14-May-10,176
England,Sri Lanka,England,7 wickets,Gros Islet,13-May-10,175
West Indies,Australia,Australia,6 wickets,Gros Islet,11-May-10,174
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,11-May-10,173
England,New Zealand,England,3 wickets,Gros Islet,10-May-10,172
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,10-May-10,171
Australia,Sri Lanka,Australia,81 runs,Bridgetown,9-May-10,170
West Indies,India,West Indies,14 runs,Bridgetown,9-May-10,169
England,South Africa,England,39 runs,Bridgetown,8-May-10,168
New Zealand,Pakistan,New Zealand,1 run,Bridgetown,8-May-10,167
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,7-May-10,166
Australia,India,Australia,49 runs,Bridgetown,7-May-10,165
New Zealand,South Africa,South Africa,13 runs,Bridgetown,6-May-10,164
England,Pakistan,England,6 wickets,Bridgetown,6-May-10,163
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,5-May-10,162
Australia,Bangladesh,Australia,27 runs,Bridgetown,5-May-10,161
England,Ireland,no result,-,Providence,4-May-10,160
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,4-May-10,159
West Indies,England,West Indies,8 wickets,Providence,3-May-10,158
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,3-May-10,157
Australia,Pakistan,Australia,34 runs,Gros Islet,2-May-10,156
India,South Africa,India,14 runs,Gros Islet,2-May-10,155
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,1-May-10,154
Afghanistan,India,India,7 wickets,Gros Islet,1-May-10,153
West Indies,Ireland,West Indies,70 runs,Providence,30-Apr-10,152
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,30-Apr-10,151
West Indies,Zimbabwe,Zimbabwe,26 runs,Port of Spain,28-Feb-10,150
New Zealand,Australia,tied,-,Christchurch,28-Feb-10,149
New Zealand,Australia,Australia,6 wickets,Wellington,26-Feb-10,148
