Player,Country,CareerBatImpact,CareerBowlImpact,MatchesPlayed,TotalImpact,BatImpactperGame,BatImpactperGame_Z,BowlImpactperGame,BowlImpactperGame_Z,TotalImpactperGame,TotalImpactperGame_Z
Haris Rauf ,PAK,-15.76004274,329.6330909,77,313.8730481,-0.20467588,-0.564833203,4.280949232,1.576070283,4.076273353,1.01123708
Shubman Gill ,IND,85.47226531,0,21,85.47226531,4.070107872,1.927497199,0,-0.674454097,4.070107872,1.253043102
KOK Williams ,WI,-4.682142857,106.3681818,25,101.686039,-0.187285714,-0.554694201,4.254727273,1.562285219,4.067441558,1.007591018
DJ Hooda ,IND,52.89556989,32.21029412,21,85.105864,2.518836661,1.023058373,1.533823529,0.131887455,4.052660191,1.154945827
KS Williamson ,NZL,342.8994508,12.65,88,355.5494508,3.896584669,1.826327835,0.14375,-0.598883736,4.040334669,1.227444098
J Botha ,RSA,28.10957792,128.8977273,39,157.0073052,0.720758408,-0.02527655,3.30506993,1.063043839,4.025828338,1.037767289
TG Southee ,NZL,29.41153382,448.6684058,119,478.0799396,0.247155746,-0.301401468,3.770322737,1.307630432,4.017478484,1.006228963
TA Boult ,NZL,-7.413041126,231.9338603,56,224.5208192,-0.132375734,-0.522679994,4.141676078,1.50285343,4.009300343,0.980173436
JP Duminy ,RSA,267.642898,48.13095238,79,315.7738504,3.387884785,1.529740157,0.609252562,-0.354165846,3.997137346,1.175574311
Naveen-ul-Haq ,AFG,-16.47970085,167.4392857,38,150.9595849,-0.433676338,-0.698347513,4.406296992,1.641966461,3.972620654,0.943618947
MN Samuels ,WI,205.8876935,55.125,66,261.0126935,3.119510507,1.373269699,0.835227273,-0.23536939,3.95473778,1.137900309
MA Wood ,ENG,-2.552777778,144.9156162,36,142.3628385,-0.070910494,-0.486843869,4.025433785,1.441744059,3.954523291,0.954900191
DP Conway ,NZL,181.5036348,0,46,181.5036348,3.945731192,1.854981769,0,-0.674454097,3.945731192,1.180527672
SN Thakur ,IND,13.6547619,84.94166667,25,98.59642857,0.546190476,-0.127055024,3.397666667,1.111722579,3.943857143,0.984667555
GC Smith ,RSA,138.3527148,-12.15,32,126.2027148,4.323522339,2.075245627,-0.3796875,-0.874058421,3.943834839,1.201187206
DJ Hussey ,AUS,78.80765954,74.92628205,39,153.7339416,2.020709219,0.732634753,1.921186719,0.335526941,3.941895938,1.068161694
RJ Peterson ,RSA,4.205103035,77.63333333,21,81.83843637,0.200243002,-0.328753041,3.696825397,1.268992376,3.897068399,0.940239334
Shadab Khan ,PAK,82.29001325,298.1836957,98,380.4737089,0.839694013,0.044066565,3.042690772,0.925109316,3.882384785,0.969175881
Hazratullah Zazai ,AFG,143.3401534,0,37,143.3401534,3.874058201,1.813194211,0,-0.674454097,3.874058201,1.138740114
S Badree ,WI,-15.56742424,204.675,49,189.1075758,-0.317702536,-0.630731219,4.177040816,1.521444916,3.859338281,0.890713697
P Nissanka ,SL,216.1175844,0,56,216.1175844,3.859242579,1.804556248,0,-0.674454097,3.859242579,1.130102151
RG Sharma ,IND,599.6503485,-10.86666667,153,588.7836819,3.919283324,1.839561849,-0.071023965,-0.711791883,3.848259359,1.127769966
A Zampa ,AUS,-12.21845238,350.8550725,88,338.6366201,-0.13884605,-0.526452387,3.98698946,1.421533614,3.84814341,0.895081227
GD Phillips ,NZL,278.8045319,13.58863636,76,292.3931683,3.668480683,1.693336195,0.178797847,-0.580458843,3.84727853,1.112877353
DJ Willey ,ENG,16.77198455,148.2809524,43,165.0529369,0.390046152,-0.218091967,3.448394241,1.138390413,3.838440394,0.920298446
KJ Abbott ,RSA,-0.4625,80.99206192,21,80.52956192,-0.02202381,-0.458341428,3.856764854,1.353073645,3.834741044,0.894732217
L Ngidi ,RSA,-8.219642857,168.7438725,42,160.5242297,-0.195705782,-0.55960336,4.017711251,1.437684271,3.822005469,0.878080911
MA Starc ,AUS,-3.481547619,244.1738722,63,240.6923246,-0.055262661,-0.477720701,3.875775749,1.363067803,3.820513088,0.885347103
M Morkel ,RSA,0.858333333,155.1905606,41,156.048894,0.020934959,-0.433295145,3.785135625,1.315417669,3.806070585,0.882122524
Mohammad Nawaz (3) ,PAK,58.45620111,143.1666667,53,201.6228678,1.102947191,0.197551264,2.701257862,0.745615692,3.804205052,0.943166957
DJ Bravo ,WI,128.9452577,217.1916667,91,346.1369244,1.416980854,0.380642548,2.386721612,0.580261828,3.803702466,0.960904376
Mohammad Amir ,PAK,-10.34581668,227.0156593,57,216.6698427,-0.181505556,-0.551324191,3.982730866,1.419294842,3.80122531,0.867970651
JE Root ,ENG,119.3277365,2.133333333,32,121.4610698,3.728991765,1.728616017,0.066666667,-0.639406973,3.795658431,1.089209044
ST Jayasuriya ,SL,59.00944258,51.05909091,29,110.0685335,2.034808365,0.740854989,1.760658307,0.251136054,3.795466672,0.991991043
AS Joseph ,WI,7.141007823,121.5690476,34,128.7100554,0.210029642,-0.323047129,3.575560224,1.205242442,3.785589866,0.882195313
B Lee ,AUS,8.211904762,86.00398724,25,94.215892,0.32847619,-0.253989148,3.44015949,1.134061347,3.76863568,0.880072199
JE Taylor ,WI,19.97420635,93.08333333,30,113.0575397,0.665806878,-0.057314982,3.102777778,0.956697467,3.768584656,0.899382484
HM Amla ,RSA,150.3930541,0,40,150.3930541,3.759826352,1.74659353,0,-0.674454097,3.759826352,1.072139432
A Nehra ,IND,-8.929757085,110.4,27,101.4702429,-0.330731744,-0.638327649,4.088888889,1.475102843,3.758157145,0.836775195
